Tract,Criterion,CSP,CBM,CBM_deltainf
36081032000, MSE , 61.25 , 63.49 , 63.43  
36081038302,MAE , 6.500 , 4.888 , 6.137 
36081038302, MSE , 96.19 , 57.51 , 70.38  
36081046200,MAE , 4.672 , 4.887 , 4.751 
36081046200, MSE , 56.42 , 51.99 , 51.92  
36081053900,MAE , 4.405 , 3.300 , 3.908 
36081053900, MSE , 53.43 , 22.71 , 29.37  
36081068300,MAE , 5.933 , 5.843 , 5.962 
36081068300, MSE , 61.82 , 61.32 , 62.36  
36081069300,MAE , 4.188 , 4.614 , 4.231 
36081069300, MSE , 43.48 , 52.37 , 52.79  
36081087100,MAE , 4.829 , 5.147 , 5.247 
36081087100, MSE , 51.89 , 116 , 116.1  
36081155102,MAE , 6.898 , 6.334 , 7.054 
36081155102, MSE , 148.8 , 162.6 , 173  
36085029102,MAE , 3.773 , 4.816 , 4.806 
36085029102, MSE , 50.37 , 128.7 , 129.2  
