emp_a_p5,emp_a_p95,realwa_p95,realwa_p5,realwb_mean,realwa_mean,realwb_std,realwb_cont,realwa_cont
101.0,137.0,83.16352407207465,77.06740641941917,79.65261907790187,79.97692361237267,1.8399987674973766,79.55068940957418,79.87040182466072
232.0,285.0,88.53612709553563,84.06378984512259,85.89342201843196,86.2370408221644,1.351552075340423,85.84395647377623,86.18742294233287
715.0,806.0,102.63485833045998,99.60487613995394,100.6843248607524,101.08661097487636,0.9195825215207923,100.66274299555188,101.06510501089677
105.0,141.0,84.08940438811393,78.00809647258684,80.59717966946323,80.90910215421985,1.8354953445556972,80.48695942808553,80.80886164515147
179.0,226.0,87.81402706305312,82.8236981114565,84.89258148505304,85.23910032025132,1.5096147456448186,84.8326259909254,85.17209491085327
186.0,234.0,86.9504321712217,82.08875090281435,84.10972935473013,84.44398105264764,1.4547416855264934,84.05260894502362,84.39007570925644
22.0,40.0,73.78693458695673,63.342079916391334,67.83619747259273,68.12963778276774,3.175223525360844,67.48975835460925,67.75901322745332
127.0,167.0,86.17207955538619,80.44969896628356,82.84669843427928,83.19686997859715,1.7221464750596411,82.76398405170896,83.0942401837045
220.0,271.0,90.98641872922387,86.28301261449559,88.21112615052078,88.56736005252161,1.416800109435439,88.15178407152843,88.50320814871314
215.0,266.0,90.52282565626402,85.8083404170685,87.73822138209056,88.09105706500206,1.4283006282039494,87.68498073395048,88.03446355337852
954.0,1058.0,105.15349889822453,102.44120386008473,103.36592464752086,103.77907705037053,0.8173010524439301,103.34954948963694,103.76263000822387
355.0,420.0,94.36747095219866,90.48685530501182,92.01430535677817,92.3847446480417,1.172297188945648,91.97836132206211,92.34708685312171
193.0,241.0,87.86968332981698,83.02751757364268,85.03025904971142,85.36847341245864,1.4523873064829695,84.97133487994384,85.3105721544501
147.0,190.0,84.68752947440224,79.43575985126027,81.64793002512832,81.97231405565391,1.586516100265219,81.56984961217206,81.8959518751333
598.0,681.0,98.61081805571571,95.42560632826647,96.59621850635482,96.98684378216699,0.9589531259368262,96.57552479816383,96.96186888654965
92.0,126.0,80.11283913219648,73.9979050333067,76.62963482991458,76.92584499459089,1.8574569314422986,76.52167734220913,76.82663569514101
115.0,153.0,83.00204709721933,77.23870998046432,79.67232945987244,79.99695997821405,1.7375865468664387,79.58127431059907,79.89957068108387
139.0,180.0,85.16561252951396,79.7297815543312,82.00332598691865,82.33696842580348,1.6372239721631807,81.92254057661455,82.24962289308219
333.0,396.0,93.86839432391429,89.88802944630073,91.46047972347635,91.8253228693844,1.2017917153074997,91.42044702886861,91.78713580574176
206.0,256.0,88.2523354139244,83.56763122389292,85.49979848825252,85.84171638061106,1.417516916456439,85.44233377621019,85.78392630999652
174.0,220.0,86.32173271430318,81.36653558722058,83.43592157543401,83.76352066497485,1.4966615559824148,83.37067168066174,83.7019498704489
231.0,284.0,90.02196463095441,85.48069963926875,87.32691004043564,87.6808310673093,1.370527356886745,87.27365768686064,87.61930096128513
142.0,184.0,85.53529823346265,80.1371274609075,82.40007173493755,82.73519360257485,1.6283209374004504,82.32176786093586,82.64897040532338
10.0,24.0,71.52945908030267,57.97174861917116,63.65879211506877,63.92319269711308,4.164893455235591,63.02260206965093,63.27333451222774
66.0,95.0,81.04740718942722,73.82360845479009,76.93772896134716,77.241954147059,2.1869828942020697,76.76999975466639,77.07535667921773
69.0,99.0,82.00279055729169,74.87804647661324,77.94299650837789,78.25284189916299,2.1462123666123016,77.79882123967123,78.10796322242427
21.0,39.0,75.01498942495598,64.22379312060528,68.84938060807724,69.12765789882278,3.287888943383779,68.47002988989803,68.74149483998951
104.0,140.0,85.60521044424928,79.3784131952881,82.03458025220176,82.35875264008097,1.8805539385073797,81.92333518434896,82.24616378456514
1199.0,1316.0,110.60365518455504,108.04475376377074,108.87428970663932,109.30573616174468,0.7677011191971059,108.86851698428791,109.30035497077462
37.0,60.0,77.15653408583603,68.4017843259032,72.21335144979808,72.4894146407638,2.653021780738676,71.96411304003601,72.25000288403098
