res_a_p5,res_a_p95,realra_p95,realra_p5,realrb_mean,realra_mean,realrb_std,realrb_cont,realra_cont
1363.0,1487.0,11551.162764923902,10568.905904658994,10996.128644202214,11056.873379019175,296.967108323275,10998.397942672302,11059.742583408784
1278.0,1398.0,11581.131470290025,10564.152367329893,11006.770622143209,11071.674488317583,306.418238753583,11006.10563147248,11072.220956051837
580.0,662.0,16219.07515205489,14179.324435189958,15120.312263917389,15200.035575993395,614.8149704579845,15120.313797241637,15201.028279570935
1002.0,1109.0,13813.572935824279,12462.40045416709,13057.47624890648,13134.560391212883,410.9270254681843,13057.286733135015,13135.68859007741
725.0,817.0,16074.337078989376,14248.174368563328,15080.757220702924,15160.537791060548,554.3307553726656,15080.338266448178,15161.42184103698
540.0,619.0,19447.886943380687,16919.923443573014,18081.101689353305,18173.046888778794,761.8823913561671,18078.140482823645,18176.756707904166
620.0,705.0,18705.910733440975,16420.180315651214,17462.187149545916,17555.246594124823,691.0853325156393,17461.33965109687,17555.536304107343
780.0,875.0,16137.965174770907,14361.95333326748,15162.401551269591,15243.309234070453,537.2232029822269,15163.195081538335,15244.828599344633
80.0,112.0,44783.944434728415,31744.06673748804,37942.251375036554,38143.95732790677,3928.3448174461987,37961.76867713477,38148.86117377083
646.0,732.0,16481.696721123073,14514.957276884355,15407.470585240217,15489.986966862973,596.3587954147551,15407.573282163416,15493.148181964238
1437.0,1564.0,10890.113884384316,9987.786882694074,10387.624282669367,10436.570113562426,272.7689081554109,10388.930228611829,10438.165203026543
690.0,780.0,15027.193568577555,13275.466038701601,14076.863009412527,14144.11730480574,527.0757882344517,14079.347934778985,14144.339024215975
1279.0,1399.0,12116.084161737823,11054.58975191731,11518.10509272565,11582.101434494743,319.758303789874,11519.123724163024,11580.747255075516
511.0,589.0,17008.01758069127,14742.086000192594,15786.726737843439,15865.63615204329,683.2882602529112,15789.014489178542,15866.68250302769
1293.0,1414.0,13185.551412684013,12037.774483765163,12534.877086210017,12610.15546383727,346.79427037878617,12536.440552652623,12612.319426064598
481.0,556.0,17181.32612370145,14827.11411253322,15913.400908073521,15993.315195732517,708.1057781245248,15916.770093381201,15995.64077176097
456.0,528.0,21540.7701288614,18526.504118859975,19933.452860629153,20025.20098815789,914.9017316001576,19932.166168808122,20031.270471542695
500.0,576.0,19059.366906313637,16488.14554343492,17668.434708971257,17759.89626231318,774.4151064656071,17668.631166376814,17760.892006787915
1426.0,1552.0,11691.395296042052,10722.447180784533,11143.64219350523,11204.960225595203,293.3804987598976,11144.317864283472,11204.956993825614
1461.0,1590.0,9720.200111197206,8922.63065622246,9271.034555061986,9320.582496026558,241.2662948646941,9270.669120743676,9321.254084479515
1376.0,1500.0,12132.834852192635,11108.23502020906,11556.629893019488,11618.613194125159,310.17300105057865,11556.348157921888,11619.20811180187
898.0,998.0,13677.943747871243,12276.959701357126,12902.175121914988,12973.57519286883,425.9282781231284,12903.223500225335,12973.176868077471
1667.0,1804.0,9596.53115260102,8857.405023076892,9177.203788306186,9225.393396176987,224.35508523785296,9177.533605977216,9225.631910355327
822.0,918.0,15644.614278472842,13968.950973109422,14726.477905230198,14803.36125970861,507.79117113724345,14728.900189184906,14806.918159768647
1715.0,1854.0,10192.77812100253,9415.640586215097,9753.689466182272,9804.813820047515,235.80388780436968,9754.94790262404,9806.547958658843
949.0,1053.0,14161.600330265588,12740.6181408062,13385.700433881178,13448.080215993497,430.3703277727191,13384.81933139993,13449.688713024529
2010.0,2160.0,9207.213802010303,8556.793696710965,8838.332279006028,8882.401236277423,196.51403278916632,8838.312316499092,8882.796137620346
1390.0,1515.0,9021.918522365811,8264.729252198333,8594.865242015145,8642.760898599858,229.3571571589792,8596.129657578844,8643.73283860797
818.0,915.0,10725.29424933955,9569.63167826808,10088.158334018222,10143.41742685417,350.14406660070097,10089.575584749582,10144.183476023434
70.0,100.0,47404.13370413721,32880.55400390524,39752.584551545006,39985.97271223303,4378.305554677437,39762.479343222185,39971.82079899051
1240.0,1359.0,12224.357355274951,11135.832992506224,11618.598091143827,11678.808227612055,328.64518537436714,11620.718450610831,11681.061640956848
1755.0,1895.0,9558.607083265479,8839.390834629054,9150.399469963108,9197.835329997719,217.3900977978009,9151.679006250128,9198.096762983516
986.0,1092.0,12532.571350492293,11298.196269394668,11840.283506339782,11908.948306522985,374.17128125726805,11842.576176466668,11908.596717086566
644.0,730.0,16609.370471336904,14617.121676667297,15524.762845091045,15605.05620527751,603.3795861442883,15525.382905123899,15606.382366927044
186.0,234.0,24401.063253326745,19343.03552559358,21745.767223942414,21839.519671406917,1525.6390621748656,21749.62536724824,21859.61360905463
936.0,1040.0,13666.556182106915,12283.716456507895,12900.913925121498,12971.389790973304,417.69717241947126,12903.891513699371,12973.592184437926
346.0,410.0,20388.79918293923,17164.214358615027,18675.19929829122,18763.324812427076,973.0181066086952,18675.816981654167,18767.247970731954
806.0,902.0,14545.030984501693,12967.953114511958,13684.943246836567,13752.832789175567,476.5254773328767,13687.709193396035,13754.464837748596
789.0,884.0,14027.705981829758,12495.55309578018,13194.245445342951,13258.325660416733,465.0342880502752,13195.553366805372,13258.681250343552
