ventile_id,simulation_id,real_rb_mean,real_ra_mean,res_b_mean,res_a_mean,dist_ij_maximum,dist_ij_minimum
12,6,14238.499809187997,14310.915386057746,1126.2222222222222,1126.3425925925926,12.807556292781596,12.109091001333718
13,6,14234.266928076939,14328.881974214095,980.4722222222222,980.6574074074074,13.534002919449897,12.807556292781596
14,6,15740.457139244605,15644.860906460683,940.1851851851852,940.4074074074074,14.213223355492133,13.534002919449897
15,6,13977.539894026782,14037.251480979021,903.9537037037037,903.7037037037037,14.990022927080933,14.213223355492133
16,6,14147.764276881015,14234.841413676257,862.0185185185185,861.8518518518518,15.857134762354208,14.990022927080933
17,6,13904.457143410318,13970.154749210496,851.324074074074,850.8888888888889,16.73930680095249,15.857134762354208
18,6,12709.315680612599,12764.448795322662,1012.6666666666666,1012.3148148148148,18.185193908963573,16.73930680095249
19,6,11378.160341683197,11444.83055826186,912.0277777777778,912.074074074074,20.03230371924933,18.185193908963573
20,6,7976.250503825415,7989.2656020026525,1376.9722222222222,1376.2314814814815,36.47608118563621,20.03230371924933
1,7,18962.24921784773,19128.920086205715,1636.0833333333333,1637.0092592592594,3.2207496030095855,0.0
2,7,16926.29123036287,17035.200624485795,1671.9722222222222,1671.9722222222222,4.209577041627323,3.2207496030095855
3,7,17407.981225667572,17518.489553114232,1435.9537037037037,1435.5277777777778,5.273829034979965,4.209577041627323
4,7,15517.72345585689,15647.395860228979,1415.0833333333333,1415.8703703703704,6.2193607634696795,5.273829034979965
5,7,16168.89698051427,16283.981764550845,1225.7407407407406,1226.1296296296296,7.099010562158709,6.2193607634696795
6,7,16266.270939044342,16339.991900959112,1191.2407407407406,1190.9814814814815,8.009865765886136,7.099010562158709
7,7,15785.928983482465,15900.51160203413,1224.0185185185185,1224.8240740740741,9.067303845096996,8.009865765886136
8,7,15910.783745677323,15980.401887203174,1077.2592592592594,1076.6296296296296,10.04996750303151,9.067303845096996
9,7,15223.010303735862,15325.089319739258,1071.5740740740741,1071.8240740740741,10.757118479298125,10.04996750303151
10,7,14832.836379027382,14921.377344935345,1102.638888888889,1102.5092592592594,11.497848880095894,10.757118479298125
11,7,14543.873531401914,14652.84317243673,1026.3333333333333,1026.3240740740741,12.109091001333718,11.497848880095894
12,7,13856.870202469428,13932.388556974052,1127.7777777777778,1127.6944444444443,12.807556292781596,12.109091001333718
13,7,14168.244962123592,14241.667225962405,979.8518518518518,979.6388888888889,13.534002919449897,12.807556292781596
14,7,15038.204011902282,14894.077387677773,936.574074074074,936.3518518518518,14.213223355492133,13.534002919449897
15,7,13862.833873266449,13931.255970481432,901.8981481481482,901.2870370370371,14.990022927080933,14.213223355492133
16,7,14142.326719506611,14229.96659789644,863.2314814814815,863.2685185185185,15.857134762354208,14.990022927080933
17,7,13964.976661262437,14031.392464289578,849.824074074074,849.9444444444445,16.73930680095249,15.857134762354208
