ventile_id,simulation_id,emp_b_mean,emp_a_mean,real_wb_mean,real_wa_mean,dist_ij_maximum,dist_ij_minimum
12,25,452.61682242990656,448.3644859813084,1.23022060785209,1.23022060785209,12.748421000557512,12.092084039119785
13,25,411.7570093457944,407.1588785046729,1.2596331727668462,1.2596331727668462,13.501331419788942,12.748421000557512
14,25,496.69444444444446,491.80555555555554,1.2994425565779564,1.2994425565779564,14.1931526288167,13.501331419788942
15,25,335.8878504672897,332.67289719626166,1.2382498742678767,1.2382498742678767,14.956788839614688,14.1931526288167
16,25,462.38317757009344,457.69158878504675,1.279868554654993,1.279868554654993,15.829313623743104,14.956788839614688
17,25,333.7289719626168,330.4859813084112,1.2347965163750603,1.2347965163750603,16.715116260578437,15.829313623743104
18,25,572.8598130841121,567.7289719626168,1.2685621009743309,1.2685621009743309,18.154016273702457,16.715116260578437
19,25,323.61682242990656,320.41121495327104,1.27077809545655,1.27077809545655,19.871801050606063,18.154016273702457
20,25,550.1851851851852,546.175925925926,1.4182462285981774,1.4182462285981774,36.47608118563621,19.871801050606063
1,26,4863.981132075472,4813.603773584906,1.5656860707969014,1.5656860707969014,3.180796486470582,0.0
2,26,3875.0186915887853,3834.0654205607475,1.4965929750947915,1.4965929750947915,4.199298262995014,3.180796486470582
3,26,1443.6915887850466,1428.3644859813085,1.4093033811244198,1.4093033811244198,5.272455687869069,4.199298262995014
4,26,2635.373831775701,2609.1308411214955,1.3442379297977263,1.3442379297977263,6.193740596260733,5.272455687869069
5,26,3333.570093457944,3300.9439252336447,1.3012187110685511,1.3012187110685511,7.05506785778168,6.193740596260733
6,26,705.2056074766355,698.1588785046729,1.2678754994973431,1.2678754994973431,7.953231296132531,7.05506785778168
7,26,575.675925925926,569.8703703703703,1.253959154920958,1.253959154920958,9.018858595419156,7.953231296132531
8,26,424.29906542056074,419.61682242990656,1.2261529308469425,1.2261529308469425,9.988970078469205,9.018858595419156
9,26,602.1028037383178,595.4485981308411,1.2293206677104924,1.2293206677104924,10.72513829060439,9.988970078469205
10,26,425.74766355140184,421.66355140186914,1.258041117289132,1.258041117289132,11.48754368614339,10.72513829060439
11,26,439.7196261682243,435.25233644859816,1.2418203022589673,1.2418203022589673,12.092084039119785,11.48754368614339
12,26,453.93457943925233,449.50467289719626,1.23022060785209,1.23022060785209,12.748421000557512,12.092084039119785
13,26,409.5327102803738,405.5420560747664,1.2596331727668462,1.2596331727668462,13.501331419788942,12.748421000557512
14,26,504.50925925925924,499.4074074074074,1.2994425565779564,1.2994425565779564,14.1931526288167,13.501331419788942
15,26,335.8317757009346,332.41121495327104,1.2382498742678767,1.2382498742678767,14.956788839614688,14.1931526288167
16,26,462.23364485981307,457.95327102803736,1.279868554654993,1.279868554654993,15.829313623743104,14.956788839614688
17,26,338.5514018691589,335.5140186915888,1.2347965163750603,1.2347965163750603,16.715116260578437,15.829313623743104
18,26,569.588785046729,564.2149532710281,1.2685621009743309,1.2685621009743309,18.154016273702457,16.715116260578437
19,26,322.10280373831773,319.2803738317757,1.27077809545655,1.27077809545655,19.871801050606063,18.154016273702457
20,26,548.6574074074074,544.2314814814815,1.4182462285981774,1.4182462285981774,36.47608118563621,19.871801050606063
1,27,4878.38679245283,4826.622641509434,1.5656860707969014,1.5656860707969014,3.180796486470582,0.0
2,27,3868.8598130841124,3828.1495327102803,1.4965929750947915,1.4965929750947915,4.199298262995014,3.180796486470582
3,27,1443.8504672897195,1428.7570093457944,1.4093033811244198,1.4093033811244198,5.272455687869069,4.199298262995014
4,27,2631.2242990654204,2604.5233644859813,1.3442379297977263,1.3442379297977263,6.193740596260733,5.272455687869069
5,27,3328.607476635514,3296.1308411214955,1.3012187110685511,1.3012187110685511,7.05506785778168,6.193740596260733
6,27,709.1588785046729,701.8504672897196,1.2678754994973431,1.2678754994973431,7.953231296132531,7.05506785778168
7,27,576.9351851851852,571.175925925926,1.253959154920958,1.253959154920958,9.018858595419156,7.953231296132531
8,27,427.6261682242991,422.74766355140184,1.2261529308469425,1.2261529308469425,9.988970078469205,9.018858595419156
9,27,598.6355140186915,592.5981308411215,1.2293206677104924,1.2293206677104924,10.72513829060439,9.988970078469205
10,27,424.97196261682245,420.1775700934579,1.258041117289132,1.258041117289132,11.48754368614339,10.72513829060439
11,27,436.9065420560748,432.98130841121497,1.2418203022589673,1.2418203022589673,12.092084039119785,11.48754368614339
12,27,452.67289719626166,448.1682242990654,1.23022060785209,1.23022060785209,12.748421000557512,12.092084039119785
13,27,412.5607476635514,408.1869158878505,1.2596331727668462,1.2596331727668462,13.501331419788942,12.748421000557512
14,27,497.6759259259259,493.0833333333333,1.2994425565779564,1.2994425565779564,14.1931526288167,13.501331419788942
15,27,338.1775700934579,334.93457943925233,1.2382498742678767,1.2382498742678767,14.956788839614688,14.1931526288167
16,27,462.6261682242991,458.2429906542056,1.279868554654993,1.279868554654993,15.829313623743104,14.956788839614688
17,27,336.70093457943926,333.7383177570093,1.2347965163750603,1.2347965163750603,16.715116260578437,15.829313623743104
18,27,572.0,566.9158878504672,1.2685621009743309,1.2685621009743309,18.154016273702457,16.715116260578437
19,27,322.76635514018693,319.8317757009346,1.27077809545655,1.27077809545655,19.871801050606063,18.154016273702457
20,27,548.7870370370371,544.425925925926,1.4182462285981774,1.4182462285981774,36.47608118563621,19.871801050606063
1,28,4884.61320754717,4831.641509433963,1.5656860707969014,1.5656860707969014,3.180796486470582,0.0
2,28,3870.214953271028,3830.448598130841,1.4965929750947915,1.4965929750947915,4.199298262995014,3.180796486470582
3,28,1446.4766355140187,1431.233644859813,1.4093033811244198,1.4093033811244198,5.272455687869069,4.199298262995014
4,28,2618.0934579439254,2592.1869158878503,1.3442379297977263,1.3442379297977263,6.193740596260733,5.272455687869069
5,28,3333.7476635514017,3300.504672897196,1.3012187110685511,1.3012187110685511,7.05506785778168,6.193740596260733
6,28,707.411214953271,699.6822429906542,1.2678754994973431,1.2678754994973431,7.953231296132531,7.05506785778168
7,28,578.574074074074,572.5277777777778,1.253959154920958,1.253959154920958,9.018858595419156,7.953231296132531
8,28,422.31775700934577,418.42056074766356,1.2261529308469425,1.2261529308469425,9.988970078469205,9.018858595419156
9,28,595.4579439252336,589.4485981308411,1.2293206677104924,1.2293206677104924,10.72513829060439,9.988970078469205
10,28,426.10280373831773,421.7570093457944,1.258041117289132,1.258041117289132,11.48754368614339,10.72513829060439
11,28,441.06542056074767,436.60747663551405,1.2418203022589673,1.2418203022589673,12.092084039119785,11.48754368614339
12,28,453.8411214953271,449.2056074766355,1.23022060785209,1.23022060785209,12.748421000557512,12.092084039119785
13,28,411.31775700934577,407.1682242990654,1.2596331727668462,1.2596331727668462,13.501331419788942,12.748421000557512
14,28,500.06481481481484,494.99074074074076,1.2994425565779564,1.2994425565779564,14.1931526288167,13.501331419788942
15,28,338.85981308411215,335.3644859813084,1.2382498742678767,1.2382498742678767,14.956788839614688,14.1931526288167
16,28,462.67289719626166,458.5514018691589,1.279868554654993,1.279868554654993,15.829313623743104,14.956788839614688
