ventile_id,simulation_id,real_rb_mean,real_ra_mean,res_b_mean,res_a_mean,dist_ij_maximum,dist_ij_minimum
7,51,232.59034920206543,233.0041608847165,1222.388888888889,1222.898148148148,9.067303845096996,8.009865765886136
8,51,233.70045381750631,234.48977444148332,1074.6666666666667,1075.4907407407406,10.04996750303151,9.067303845096996
9,51,221.7017419423441,222.43394733154403,1078.3425925925926,1079.1296296296296,10.757118479298125,10.04996750303151
10,51,218.6104775303295,218.90587684048103,1098.3148148148148,1097.5740740740741,11.497848880095894,10.757118479298125
11,51,214.38361714508312,214.44197887525922,1029.9166666666667,1029.3796296296296,12.109091001333718,11.497848880095894
12,51,204.35773695861567,204.66862438566258,1126.287037037037,1126.2037037037037,12.807556292781596,12.109091001333718
13,51,211.59247682799565,211.80727544265358,983.1388888888889,982.4166666666666,13.534002919449897,12.807556292781596
14,51,225.2145769395874,225.46996290172007,942.5648148148148,942.324074074074,14.213223355492133,13.534002919449897
15,51,204.1615427558379,204.56693818752464,902.3518518518518,902.1481481481482,14.990022927080933,14.213223355492133
16,51,210.04791092009418,210.41223175998766,860.0,859.8981481481482,15.857134762354208,14.990022927080933
17,51,205.60089349176255,205.6232588872605,849.9907407407408,849.9814814814815,16.73930680095249,15.857134762354208
18,51,186.16728978732303,186.30996020986882,1019.5092592592592,1019.0370370370371,18.185193908963573,16.73930680095249
19,51,169.0126895665728,168.96802011490217,919.6944444444445,918.9629629629629,20.03230371924933,18.185193908963573
20,51,120.38963174471674,120.37032351478172,1372.9907407407406,1372.0925925925926,36.47608118563621,20.03230371924933
1,52,276.74166671506543,277.5932631225293,1632.4444444444443,1632.0555555555557,3.2207496030095855,0.0
2,52,245.4880341423905,245.92483544095288,1663.9537037037037,1663.5092592592594,4.209577041627323,3.2207496030095855
3,52,253.35549677806463,254.24102737817307,1431.712962962963,1432.7962962962963,5.273829034979965,4.209577041627323
4,52,228.66244615239992,229.08030848430832,1410.398148148148,1409.8333333333333,6.2193607634696795,5.273829034979965
5,52,242.15054244040755,242.85831501932188,1230.1296296296296,1229.9166666666667,7.099010562158709,6.2193607634696795
6,52,243.50198327141402,244.19462701738843,1191.2222222222222,1192.2314814814815,8.009865765886136,7.099010562158709
7,52,231.15080701489308,231.66287740615076,1217.3796296296296,1217.898148148148,9.067303845096996,8.009865765886136
8,52,234.63110704048958,234.90512649145154,1077.0925925925926,1077.3148148148148,10.04996750303151,9.067303845096996
9,52,229.22180842046677,229.80127349531125,1081.1574074074074,1080.8240740740741,10.757118479298125,10.04996750303151
10,52,218.7900583770754,219.0706985545735,1095.9907407407406,1096.537037037037,11.497848880095894,10.757118479298125
11,52,214.12731623889064,214.38670744811458,1031.0277777777778,1032.0555555555557,12.109091001333718,11.497848880095894
12,52,202.88337181177855,203.16912397990484,1128.0277777777778,1128.1944444444443,12.807556292781596,12.109091001333718
13,52,209.78581918984315,210.0332188205405,981.5555555555555,981.6203703703703,13.534002919449897,12.807556292781596
14,52,236.94399380687653,237.3649852147395,942.6111111111111,942.4351851851852,14.213223355492133,13.534002919449897
15,52,203.40761398229225,203.39697387617417,902.6296296296297,901.6388888888889,14.990022927080933,14.213223355492133
16,52,210.59246007732182,211.37222063632214,864.9814814814815,865.2129629629629,15.857134762354208,14.990022927080933
17,52,206.67615646867276,207.0182266444656,854.7777777777778,854.5092592592592,16.73930680095249,15.857134762354208
18,52,184.0436125156071,184.63315336465607,1014.4537037037037,1014.324074074074,18.185193908963573,16.73930680095249
19,52,169.79864587457212,170.02268163909994,920.8981481481482,920.8703703703703,20.03230371924933,18.185193908963573
20,52,117.68361582867497,117.59205609651163,1372.9722222222222,1371.638888888889,36.47608118563621,20.03230371924933
1,53,286.66782274663467,287.52572863175914,1626.6666666666667,1627.9814814814815,3.2207496030095855,0.0
2,53,248.77633143856258,249.56568544745093,1667.462962962963,1667.6203703703704,4.209577041627323,3.2207496030095855
3,53,255.6024598565807,256.15985998268053,1436.4814814814815,1436.212962962963,5.273829034979965,4.209577041627323
4,53,228.1609335736819,229.06205039150123,1412.138888888889,1412.8240740740741,6.2193607634696795,5.273829034979965
5,53,243.69851804415916,244.29342040980293,1237.3796296296296,1237.3333333333333,7.099010562158709,6.2193607634696795
6,53,241.31940654138683,242.22629512586497,1185.1203703703704,1185.0833333333333,8.009865765886136,7.099010562158709
7,53,231.77124152757594,232.17296791718834,1220.888888888889,1221.0833333333333,9.067303845096996,8.009865765886136
8,53,233.5377281358477,234.28519328713395,1081.888888888889,1082.8333333333333,10.04996750303151,9.067303845096996
9,53,223.86242673011844,224.55204067001893,1075.0925925925926,1074.8333333333333,10.757118479298125,10.04996750303151
10,53,220.86234654439357,221.02365983342327,1096.7962962962963,1096.6851851851852,11.497848880095894,10.757118479298125
11,53,212.2108364599344,212.55817556179468,1028.8796296296296,1028.462962962963,12.109091001333718,11.497848880095894
12,53,209.02556537458406,209.34821926730706,1130.8333333333333,1130.7962962962963,12.807556292781596,12.109091001333718
13,53,209.7620518896593,210.03587728624694,983.0925925925926,983.1666666666666,13.534002919449897,12.807556292781596
14,53,216.94936404572255,217.28978828014309,941.2222222222222,940.7777777777778,14.213223355492133,13.534002919449897
15,53,206.55838706993876,206.86647532916263,908.8611111111111,908.7222222222222,14.990022927080933,14.213223355492133
16,53,208.20583735873666,208.2896215438602,856.925925925926,856.6388888888889,15.857134762354208,14.990022927080933
17,53,205.017589184503,205.38616280154088,850.6574074074074,850.5185185185185,16.73930680095249,15.857134762354208
18,53,184.3524956294518,184.56528985286033,1013.3796296296297,1013.6851851851852,18.185193908963573,16.73930680095249
19,53,167.47890858936248,167.60912444811487,914.4444444444445,913.6851851851852,20.03230371924933,18.185193908963573
20,53,120.13097193493167,119.59205916725253,1377.2037037037037,1376.4722222222222,36.47608118563621,20.03230371924933
1,54,280.25360782007033,281.74903814540727,1634.287037037037,1635.7962962962963,3.2207496030095855,0.0
2,54,248.21798962964857,248.8982614497884,1668.9351851851852,1670.0555555555557,4.209577041627323,3.2207496030095855
3,54,256.9153584898269,257.6059820953486,1435.3055555555557,1435.287037037037,5.273829034979965,4.209577041627323
4,54,227.23290003035345,227.79627642927855,1410.8148148148148,1411.2407407407406,6.2193607634696795,5.273829034979965
5,54,243.51264760032717,244.31631969585658,1230.2685185185185,1231.2314814814815,7.099010562158709,6.2193607634696795
6,54,239.29785033363126,239.06379353272345,1187.4537037037037,1186.1944444444443,8.009865765886136,7.099010562158709
7,54,235.90927228433807,236.28750584814532,1224.611111111111,1224.5277777777778,9.067303845096996,8.009865765886136
8,54,229.1751468582189,229.34064448340948,1069.7314814814815,1069.5740740740741,10.04996750303151,9.067303845096996
9,54,223.9382170940887,224.32578873095778,1074.388888888889,1074.1203703703704,10.757118479298125,10.04996750303151
10,54,217.81476916241004,218.5483177737151,1097.8148148148148,1098.4722222222222,11.497848880095894,10.757118479298125
11,54,212.35277845798313,212.73273941717292,1028.712962962963,1028.5462962962963,12.109091001333718,11.497848880095894
12,54,206.26820034158393,206.52214301150818,1127.5092592592594,1127.5,12.807556292781596,12.109091001333718
13,54,209.89583786867428,210.06662194516232,984.1481481481482,983.3703703703703,13.534002919449897,12.807556292781596
14,54,216.1366098481138,216.3942627972139,937.2222222222222,936.9629629629629,14.213223355492133,13.534002919449897
15,54,205.96908911902793,206.38902671415659,910.2222222222222,910.2037037037037,14.990022927080933,14.213223355492133
16,54,211.61942528837386,211.90404414613297,860.4907407407408,860.6944444444445,15.857134762354208,14.990022927080933
17,54,206.14404937575077,206.56131515114356,853.1574074074074,853.6574074074074,16.73930680095249,15.857134762354208
18,54,187.0746649062811,187.51724495300647,1016.0925925925926,1015.6666666666666,18.185193908963573,16.73930680095249
19,54,168.9019084292704,168.83138049707165,918.074074074074,917.5,20.03230371924933,18.185193908963573
20,54,120.25886064827336,120.25762219020132,1376.1759259259259,1374.8148148148148,36.47608118563621,20.03230371924933
1,55,286.4995412274734,288.2101299409381,1632.1666666666667,1633.6759259259259,3.2207496030095855,0.0
2,55,246.65371954360683,247.48609375583285,1668.1296296296296,1668.8425925925926,4.209577041627323,3.2207496030095855
3,55,253.6032304636163,254.13391385545162,1432.2962962962963,1432.0648148148148,5.273829034979965,4.209577041627323
4,55,228.0244014656402,228.80054257421452,1408.898148148148,1409.6851851851852,6.2193607634696795,5.273829034979965
5,55,244.00290517329984,244.53948535220917,1234.7314814814815,1233.9259259259259,7.099010562158709,6.2193607634696795
6,55,238.64996064848467,239.20774615525394,1185.6851851851852,1185.6944444444443,8.009865765886136,7.099010562158709
7,55,237.30520673929672,237.87568964321963,1228.2407407407406,1227.9722222222222,9.067303845096996,8.009865765886136
8,55,230.46362060990475,230.77507969845158,1078.148148148148,1077.8148148148148,10.04996750303151,9.067303845096996
9,55,226.68304160492335,227.23641000201053,1082.9351851851852,1082.3055555555557,10.757118479298125,10.04996750303151
10,55,220.18362615447762,220.67213594281088,1099.0555555555557,1099.4074074074074,11.497848880095894,10.757118479298125
11,55,212.8565922795839,212.9774067616387,1026.4907407407406,1025.5092592592594,12.109091001333718,11.497848880095894
12,55,209.1867869797118,209.57384488186764,1127.0740740740741,1127.5740740740741,12.807556292781596,12.109091001333718
13,55,207.55320682542862,208.04358155936862,972.3148148148148,972.4351851851852,13.534002919449897,12.807556292781596
