wage,realwage
0.06135913221820408,0.02590931022520909
0.10740735975568308,0.0608946123996584
0.06847398228646814,0.02859413412947377
0.06872731716454053,0.022575664833249406
0.06483931616509836,0.010213549530853764
0.06448096962709003,0.011632237670403165
0.06461566592315711,0.06611758100935058
0.07035522349101725,0.011953997639954634
0.0731657653070108,0.012996265752148288
0.06125688354547641,0.01585194685399369
0.11668275821094215,0.07410199214843315
0.07431103820359312,0.02767927057136951
0.07155659410185337,0.013063945181754908
0.08506692049586984,0.03229381488036011
0.07318547367501026,0.017192724514832034
0.07569780738087606,0.020720817358086216
0.0710337258168532,0.026322350972067147
0.0746604932338412,0.031379231924238006
0.06856656230736229,0.00503306821488306
0.06727051438713982,0.011460432539690323
0.06833356433126249,0.010927276488356886
0.06995972529304653,0.022609414662688357
0.06495657298625136,0.003052109661252952
0.061241777441004105,0.01247096481326014
0.07260639563560958,0.021532122241655006
0.0661696950384684,0.007225278035889108
0.07101464008688535,0.010857951988027562
0.06487008702361642,0.011016149345865494
0.07897201992897145,0.020032408686434154
0.07241683195830995,0.016963964249155302
0.06369905138166983,0.01057497473932665
0.07124268612501859,0.01178812749319295
0.06551486755892823,0.011648555519617904
0.07508624241853225,0.017445397230939255
0.06740562873233351,0.02953071344844765
0.05804602904594736,0.02167290440871911
0.0705025144710638,0.012550809273742195
0.06775116340491585,0.0188886069008806
0.08351638262173597,0.03456016103361162
0.07926268587550388,0.0314776436639902
0.06668186745948797,0.03177014088834149
0.0749188002344025,0.020583509713404707
0.0660181322681074,0.008008022988259365
0.07088060117984601,0.007088633458226261
0.07253808103283325,0.014580313287427196
0.0637335737885123,0.00843908996926516
0.06065352825555594,0.013579843461757538
0.06277974348695048,0.025075512338669566
0.06774208110083864,0.0161707121989185
0.06920188671686096,0.012313223668091936
0.06957903518142336,0.013624485683277319
0.06583704393845242,0.019347928809630495
0.06420923624989161,0.0076439478792816005
0.07516182273337578,0.015148690736576894
0.07818512235137035,0.02214683211017463
0.06817408717167205,0.009690092136091089
0.060131454959608664,0.021061131744895507
0.09874351171302373,0.051333462142825574
0.08147444549252657,0.027223364868270903
0.06896916426660632,0.012289843252466445
0.06708640892282564,0.01061682054270882
0.061570535514982705,0.035814861380831516
0.06508040839025592,0.007834571279665706
0.07121435823086394,0.01299254133702816
0.07802658334923925,0.042881844815459834
0.06842302020417394,0.013152004632683333
0.06747406291146472,0.021020034425737872
0.08038475257350512,0.018669629810177047
0.06644921694336828,0.005611223670533513
0.06229783506793874,0.01379099859825966
0.06183204193895674,0.017062368297832427
0.06831253375531193,0.016771648491064942
0.06635810043740008,0.011262528924804591
0.06786906335823886,0.01768977073105048
0.05499337854471574,0.023806804442628168
0.07283460968542774,0.014959045624505896
0.06545402794886827,0.012131405130173011
0.06267295474122855,0.02113068364421286
0.06108384570521142,0.014412733949292472
0.07014925523984265,0.006100369716573117
0.05415740856595278,0.026714029257099255
0.10702587264154738,0.06132299675743402
0.07914694723442518,0.03649247863133569
0.05128765457798382,0.03344289277363206
0.06867461311009707,0.044808055768368875
0.06834079647557996,0.028407099302916787
0.06803690302064418,0.005523921987194148
0.08126056033678715,0.04224490817614264
0.06523899398828623,0.02310139149121164
0.07551354389982393,0.018349613162640162
0.0649697835514874,0.004400514446736585
0.06028920751336854,0.010421490751177776
0.10198853183773479,0.0647797475280945
0.0868266951591147,0.03222019383892962
0.07692426831805628,0.01741494491700704
0.06435337333404126,0.021328391508255842
0.06797254943983104,0.006791043635582448
0.0694343462136311,0.01794737944905715
0.07780602481348978,0.023993514422715162
0.06710408284763378,0.006703029752411458
0.07202030191762866,0.012960755566809194
0.07469974240829083,0.018282869590536356
0.06635532035967388,0.012037087052738793
0.07066575217427284,0.015578912737844213
0.06217897065933066,0.021923905947708468
0.058830063773283016,0.026873759865075782
0.06849667392498902,0.01792036690897886
0.0797924523552884,0.02254362672148816
0.07408300487769764,0.026332210341707425
0.06877733674655041,0.014589385974398652
0.11651873878938446,0.08068374009605135
0.0662002064039968,0.01540256721155138
0.06231115436740088,0.010846418026735445
0.06714768935711292,0.012602461592572214
0.06722064807629342,0.012033043554838745
0.07134540458940099,0.015865615788141604
0.07083057794150106,0.011818343054960165
0.06772146535733208,0.009033879759782641
0.058877967687420915,0.020430035337329393
0.06506423127003425,0.005064355796094967
0.0707021585070707,0.011578193411333005
0.06809595099941967,0.013119885973758901
0.06821438321672167,0.0072154786829432055
0.06436570721358892,0.006906146889611951
0.06369005044823782,0.011505697775869524
0.08033072667052828,0.0320834682822832
0.06182712355844733,0.026413998012190694
0.06862177449527637,0.01105522037236084
0.0628968160001994,0.014175383963931143
0.06216866573516597,0.014380976085432826
0.07202569106582737,0.022405345561934173
0.17823457846410357,0.169064890755996
