id,d_emp_p95,d_emp_p5,d_emp_mean,d_real_wage_ratio_p95,d_real_wage_ratio_p5,d_real_wage_ratio_mean,real_wb_mean,real_wa_mean
161,1.0,-2.0,-0.65,0.0,0.0,0.0,1.0876172502143089,1.0876172502143089
162,0.0,-6.0,-3.04,0.0,0.0,0.0,1.2866997976976253,1.2866997976976253
163,0.04999999999999716,-4.0,-1.43,0.0,0.0,0.0,1.1919121846329273,1.1919121846329273
164,-8.0,-21.0,-14.39,0.0,0.0,0.0,1.5765454985597858,1.5765454985597858
165,0.0,-6.0,-2.23,0.0,0.0,0.0,1.2604741510239004,1.2604741510239004
166,1.0,-2.0,-0.51,0.0,0.0,0.0,1.0769295563016146,1.0769295563016146
167,-6.950000000000003,-19.0,-13.01,0.0,0.0,0.0,1.6060127114392388,1.6060127114392388
168,-0.9500000000000028,-7.05,-3.66,0.0,0.0,0.0,1.3219499736298521,1.3219499736298521
169,1.0,-2.0,-0.53,0.0,0.0,0.0,1.0711529715419696,1.0711529715419696
170,0.0,-7.0,-2.98,0.0,0.0,0.0,1.3092484528574095,1.3092484528574095
171,-2.0,-9.0,-5.09,0.0,0.0,0.0,1.4150513118705605,1.4150513118705605
172,0.0,-4.0,-1.75,0.0,0.0,0.0,1.2357760155669808,1.2357760155669808
173,0.0,-4.0,-1.57,0.0,0.0,0.0,1.2251785225801444,1.2251785225801444
174,0.0,-2.0,-0.54,0.0,0.0,0.0,1.0399532604097002,1.0399532604097002
175,1.0,-3.0,-0.83,0.0,0.0,0.0,1.167860025498826,1.167860025498826
176,0.0,-2.05,-0.76,0.0,0.0,0.0,1.0891675670100367,1.0891675670100367
177,0.0,-8.0,-4.29,0.0,0.0,0.0,1.3736233048591788,1.3736233048591788
178,1.0,-2.0,-0.31,0.0,0.0,0.0,0.9859885102490332,0.9859885102490332
179,0.04999999999999716,-4.0,-1.45,0.0,0.0,0.0,1.2292397226859715,1.2292397226859715
180,-2.0,-11.0,-5.93,0.0,0.0,0.0,1.4430432526864518,1.4430432526864518
181,0.0,-5.0,-2.15,0.0,0.0,0.0,1.2685105587907008,1.2685105587907008
182,0.0,-6.0,-2.62,0.0,0.0,0.0,1.2791119319767044,1.2791119319767044
